   0  0.999391 -9.965784       517   1224389
   1  0.999920 -9.965784        68   1224389
   2  0.998977 -9.461832        58     81742
   3  0.998865 -9.311896        69     87639
   4  0.999074 -9.605819        60     93442
   5  0.998880 -9.331062        77     99109
   6  0.998865 -9.311898        83    105421
   7  0.998853 -9.296916        89    111873
   8  0.998682 -9.097175       109    119284
   9  0.998413 -8.829258       140    127219
  10  0.998600 -9.009508       131    134900
  11  0.998474 -8.885104       152    143581
  12  0.998508 -8.917674       158    152660
  13  0.998501 -8.911383       169    162577
  14  0.998296 -8.726394       204    172605
  15  0.998042 -8.525905       250    184049
  16  0.998306 -8.735070       230    195779
  17  0.998299 -8.729231       244    206856
  18  0.997987 -8.486456       308    220624
  19  0.997953 -8.462070       332    233824
  20  0.998050 -8.531781       336    248373
  21  0.997856 -8.395662       393    264316
  22  0.997599 -8.232006       468    280953
  23  0.997524 -8.187819       513    298663
  24  0.997339 -8.083947       583    315797
  25  0.997422 -8.129858       600    335534
  26  0.997277 -8.050694       672    355697
  27  0.997180 -8.000114       739    377659
  28  0.997026 -7.923845       829    401795
  29  0.996711 -7.778638       972    425902
  30  0.996713 -7.779378      1030    451548
  31  0.996521 -7.697649      1153    477568
  32  0.996433 -7.661639      1255    506971
  33  0.996267 -7.596181      1397    539239
  34  0.996182 -7.563525      1508    569023
  35  0.996139 -7.547523      1615    602658
  36  0.995971 -7.486032      1788    639300
  37  0.995758 -7.412047      1990    675857
  38  0.995267 -7.254162      2356    716970
  39  0.995110 -7.207230      2573    757862
  40  0.995053 -7.190574      2756    802414
  41  0.994792 -7.116529      3077    850900
  42  0.994629 -7.072137      3360    900903
  43  0.994139 -6.946458      3872    951247
  44  0.994182 -6.956913      4065   1005955
  45  0.993827 -6.871611      4553   1061770
  46  0.993360 -6.766586      5189   1124761
  47  0.993132 -6.718064      5663   1186719
  48  0.992972 -6.684972      6120   1253265
  49  0.992573 -6.605530      6840   1325297
  50  0.992218 -6.538363      7572   1400044
  51  0.991889 -6.478642      8315   1474742
  52  0.991418 -6.397473      9296   1558023
  53  0.991149 -6.353189     10123   1645036
  54  0.990653 -6.274652     11268   1733491
  55  0.990229 -6.210960     12416   1827072
  56  0.989766 -6.144404     13730   1928723
  57  0.989354 -6.087690     15069   2034638
  58  0.988894 -6.026810     16551   2141714
  59  0.988276 -5.949053     18410   2256307
  60  0.987677 -5.877481     20370   2374706
  61  0.987040 -5.805040     22598   2504320
  62  0.986409 -5.736809     24922   2633137
  63  0.985722 -5.665976     27545   2769513
  64  0.984754 -5.571791     30918   2910235
  65  0.984196 -5.520204     33731   3062307
  66  0.983488 -5.457372     37061   3219655
  67  0.982464 -5.371037     41332   3379721
  68  0.981493 -5.293783     45883   3553842
  69  0.980760 -5.238120     50067   3729245
  70  0.979824 -5.170088     55141   3915460
  71  0.978576 -5.084124     61497   4110633
  72  0.977442 -5.010267     67940   4311273
  73  0.976205 -4.933858     75111   4516581
  74  0.975070 -4.867170     82601   4738870
  75  0.973498 -4.779758     91952   4959796
  76  0.972181 -4.710423    101197   5197589
  77  0.970564 -4.629748    112010   5433990
  78  0.968867 -4.549708    124069   5687479
  79  0.967072 -4.469723    137321   5948059
  80  0.965235 -4.392315    151821   6224653
  81  0.963366 -4.317721    167174   6500317
