   0  0.999395 -9.965784       518   1234137
   1  0.999919 -9.965784        69   1234137
   2  0.998867 -9.315446        65     82762
   3  0.998814 -9.248816        72     87534
   4  0.998835 -9.274439        76     94054
   5  0.998698 -9.114841        90     99706
   6  0.998623 -9.033463       101    105750
   7  0.998840 -9.281523        91    113172
   8  0.998778 -9.205865       102    120366
   9  0.998554 -8.963099       128    127634
  10  0.998623 -9.033677       130    136134
  11  0.998497 -8.907461       150    143907
  12  0.998367 -8.788099       174    153663
  13  0.998188 -8.638109       205    163143
  14  0.998190 -8.639656       218    173675
  15  0.998067 -8.544526       247    184206
  16  0.998323 -8.749862       228    196079
  17  0.998154 -8.611204       267    208553
  18  0.997907 -8.429964       321    221094
  19  0.997837 -8.382318       354    235891
  20  0.997789 -8.351043       385    251038
  21  0.997602 -8.233912       443    266297
  22  0.997799 -8.357695       431    282333
  23  0.997578 -8.219689       502    298798
  24  0.997541 -8.197926       544    318941
  25  0.997253 -8.038089       641    336331
  26  0.997187 -8.003989       699    358180
  27  0.997030 -7.925554       784    380436
  28  0.997241 -8.031541       773    403751
  29  0.996755 -7.798001       963    427673
  30  0.996972 -7.897804       952    453139
  31  0.996622 -7.740163      1128    481220
  32  0.996610 -7.734952      1201    510511
  33  0.996365 -7.634301      1366    541427
  34  0.996215 -7.576271      1501    571421
  35  0.995991 -7.493301      1690    607321
  36  0.996018 -7.503023      1777    642915
  37  0.995695 -7.390712      2029    678957
  38  0.995649 -7.375486      2178    721142
  39  0.995316 -7.269173      2479    762317
  40  0.995050 -7.189519      2767    805026
  41  0.995109 -7.206918      2898    853404
  42  0.994586 -7.060549      3389    901382
  43  0.994286 -6.982992      3790    955079
  44  0.994017 -6.916666      4200   1010653
  45  0.993847 -6.876345      4564   1067848
  46  0.993591 -6.817681      5032   1130233
  47  0.993258 -6.744719      5583   1191875
  48  0.992899 -6.670152      6214   1259446
  49  0.992691 -6.628536      6748   1328596
  50  0.992246 -6.543540      7572   1405104
  51  0.991932 -6.486294      8316   1482807
  52  0.991539 -6.417874      9200   1564024
  53  0.991163 -6.355383     10138   1649996
  54  0.990729 -6.286496     11217   1739962
  55  0.990305 -6.222186     12391   1837733
  56  0.989836 -6.154236     13684   1935499
  57  0.989374 -6.090316     15086   2040672
  58  0.988765 -6.010197     16804   2149364
  59  0.988272 -5.948582     18499   2266467
  60  0.987629 -5.871810     20547   2385862
  61  0.987028 -5.803695     22672   2510159
  62  0.986338 -5.729313     25146   2642905
  63  0.985874 -5.681301     27351   2779667
  64  0.985177 -5.612213     30178   2922152
  65  0.984224 -5.522797     33791   3073333
  66  0.983548 -5.462585     37035   3229176
  67  0.982665 -5.387622     41032   3394456
  68  0.981674 -5.307865     45564   3564197
  69  0.980699 -5.233578     50357   3738897
  70  0.979728 -5.163225     55550   3925519
  71  0.978688 -5.091609     61339   4121718
  72  0.977507 -5.014398     67953   4324658
  73  0.976356 -4.942954     74914   4533701
  74  0.975105 -4.869195     82591   4745066
  75  0.973620 -4.786363     91869   4978478
  76  0.972192 -4.711009    101354   5207806
  77  0.970771 -4.639814    111600   5452789
  78  0.969060 -4.558589    123709   5706757
  79  0.967419 -4.484838    136087   5958125
  80  0.965452 -4.401259    151044   6232247
  81  0.963451 -4.321025    167072   6511626
  82  0.961230 -4.237039    185324   6804037
  83  0.959146 -4.162521    204123   7106692
  84  0.956963 -4.088526    224340   7408845
  85  0.954308 -4.003472    248616   7726269
  86  0.951514 -3.919238    275031   8046818
  87  0.948647 -3.837774    304014   8389769
  88  0.945645 -3.757303    335035   8726065
  89  0.942151 -3.669160    371825   9088280
  90  0.938614 -3.585294    410637   9446914
  91  0.934881 -3.501978    453235   9816371
  92  0.930621 -3.412679    502226  10194429
  93  0.926302 -3.327688    554476  10579404
  94  0.921549 -3.239883    612676  10963440
  95  0.916419 -3.151030    678008  11367344
