   0  0.998460 -8.872242       644    602925
   1  0.999856 -9.965784        60    602925
   2  0.997634 -8.253104        70     42643
   3  0.997579 -8.220426        77     45855
   4  0.997304 -8.065124        92     49187
   5  0.997518 -8.184021        90     52259
   6  0.997080 -7.949903       114     56262
   7  0.997009 -7.915258       125     60224
   8  0.996900 -7.863917       138     64158
   9  0.996705 -7.776095       156     68234
  10  0.996615 -7.736920       173     73638
  11  0.996580 -7.722078       185     77938
  12  0.996364 -7.633907       211     83609
  13  0.996645 -7.749724       208     89327
  14  0.996808 -7.821879       212     95725
  15  0.995865 -7.448860       293    102090
  16  0.996115 -7.538671       294    109037
  17  0.996262 -7.594225       300    115642
  18  0.995953 -7.479582       347    123515
  19  0.995327 -7.272605       429    132237
  20  0.995472 -7.318034       444    141253
  21  0.994856 -7.134197       538    150616
  22  0.994669 -7.082885       593    160192
  23  0.995052 -7.190126       590    171726
  24  0.994525 -7.044331       694    182514
  25  0.994431 -7.019804       754    194938
  26  0.994312 -6.989451       822    208077
  27  0.994006 -6.914042       919    220737
  28  0.993518 -6.801259      1063    236045
  29  0.993221 -6.736843      1180    250532
  30  0.993254 -6.743960      1256    267993
  31  0.992980 -6.686596      1391    285174
  32  0.992864 -6.662932      1509    304308
  33  0.992665 -6.623349      1653    324281
  34  0.992076 -6.512322      1895    344079
  35  0.992048 -6.507266      2025    366390
  36  0.991415 -6.396963      2331    390540
  37  0.991439 -6.400972      2476    415995
  38  0.990973 -6.324881      2776    442294
  39  0.990427 -6.240433      3130    470165
  40  0.990074 -6.188259      3460    501152
  41  0.989961 -6.172013      3720    532736
  42  0.989323 -6.083427      4204    565943
  43  0.988822 -6.017572      4678    601444
  44  0.988489 -5.975313      5120    639121
  45  0.988153 -5.934033      5601    679284
  46  0.987538 -5.861314      6254    720888
  47  0.987122 -5.814171      6881    767441
  48  0.986504 -5.746824      7645    813413
  49  0.986150 -5.709613      8343    864864
  50  0.985760 -5.669756      9124    919804
  51  0.984601 -5.557445     10458    974542
  52  0.984468 -5.545110     11190   1033782
  53  0.983628 -5.469531     12506   1095753
  54  0.982927 -5.409438     13844   1162934
  55  0.982570 -5.379771     14998   1233925
  56  0.981782 -5.316376     16590   1305512
  57  0.980815 -5.242204     18528   1384025
  58  0.979951 -5.179106     20548   1468353
  59  0.978908 -5.106448     22897   1554724
  60  0.978130 -5.054569     25131   1645254
  61  0.977351 -5.004469     27561   1741816
  62  0.976092 -4.927051     30834   1845240
  63  0.974915 -4.858332     34164   1947830
  64  0.973849 -4.798794     37782   2065492
  65  0.973000 -4.753164     41296   2186025
  66  0.971857 -4.693922     45416   2305570
  67  0.970247 -4.614430     50842   2439934
  68  0.969009 -4.556219     55977   2577916
  69  0.967748 -4.499323     61611   2725276
  70  0.966050 -4.426163     68487   2876247
  71  0.964662 -4.369033     75203   3032755
  72  0.962668 -4.290835     83924   3201462
  73  0.961435 -4.244558     91536   3378718
  74  0.959435 -4.172639    101530   3560432
  75  0.957147 -4.094594    113237   3755900
  76  0.955384 -4.037302    124320   3958123
  77  0.953045 -3.964769    137882   4167901
  78  0.950829 -3.899341    152341   4394035
  79  0.948283 -3.827770    168598   4619424
  80  0.945711 -3.759019    186490   4863180
  81  0.942850 -3.686354    206645   5113924
  82  0.940523 -3.629931    226297   5376785
  83  0.937302 -3.555432    250972   5650319
  84  0.934010 -3.483245    277642   5932140
  85  0.930606 -3.412380    307167   6233667
  86  0.927162 -3.344197    338642   6539551
  87  0.923292 -3.271427    374705   6861604
  88  0.919204 -3.198553    414039   7188027
  89  0.914947 -3.126583    457288   7530291
  90  0.910225 -3.050958    506779   7893204
  91  0.905306 -2.976443    560444   8261428
  92  0.900464 -2.906893    617467   8644550
  93  0.894901 -2.831175    683168   9040408
  94  0.889109 -2.756644    754913   9448829
  95  0.883046 -2.682830    832736   9861498
  96  0.876384 -2.606195    920887  10293596
  97  0.869270 -2.528975   1018540  10738701
  98  0.861789 -2.452376   1125302  11192630
  99  0.853896 -2.376139   1243334  11666090
 100  0.845404 -2.298801   1372803  12136916
 101  0.835993 -2.218161   1519003  12616837
 102  0.826400 -2.140855   1677584  13119486
 103  0.815926 -2.061464   1854253  13625410
 104  0.804498 -1.980161   2051889  14139035
 105  0.792828 -1.902210   2264278  14662803
 106  0.779810 -1.820639   2502657  15178000
 107  0.766069 -1.739996   2766483  15715513
 108  0.751077 -1.657665   3057665  16236538
 109  0.734802 -1.574192   3382382  16760963
 110  0.717848 -1.492998   3736720  17299010
 111  0.699299 -1.410105   4130677  17824407
 112  0.679332 -1.326978   4565240  18341000
 113  0.657886 -1.243897   5043643  18846820
 114  0.635067 -1.161685   5565089  19335185
 115  0.609226 -1.075340   6166786  19822746
 116  0.582593 -0.992914   6807300  20288489
 117  0.553462 -0.909428   7518821  20726383
 118  0.521588 -0.825043   8312106  21139138
 119  0.486853 -0.740298   9187067  21507302
 120  0.449589 -0.656652  10154305  21860603
 121  0.408910 -0.572786  11226721  22170368
 122  0.364790 -0.489432  12402655  22421326
 123  0.316364 -0.405812  13711341  22619162
 124  0.264298 -0.323825  15147698  22771371
 125  0.206701 -0.241349  16745350  22843931
 126  0.143872 -0.159825  18507029  22843297
 127  0.075048 -0.079168  20451843  22759151
 128  0.000000  0.000000  22341681  22341681
 129 -0.079168  0.075048  22759151  20451843
 130 -0.159825  0.143872  22843297  18507029
 131 -0.241349  0.206701  22843931  16745350
 132 -0.323825  0.264298  22771371  15147698
 133 -0.405812  0.316364  22619162  13711341
 134 -0.489432  0.364790  22421326  12402655
 135 -0.572786  0.408910  22170368  11226721
 136 -0.656652  0.449589  21860603  10154305
 137 -0.740298  0.486853  21507302   9187067
 138 -0.825043  0.521588  21139138   8312106
 139 -0.909428  0.553462  20726383   7518821
